machine_id,timestamp,vibration,temperature,pressure,noise_level
M3,2026-03-25T11:05:57.142082,1.51,68.31,113.92,73.74
M1,2026-03-25T11:06:57.142082,1.6,73.51,96.66,81.96
M2,2026-03-25T11:07:57.142082,1.18,70.37,88.75,69.61
M2,2026-03-25T11:08:57.142082,2.65,57.55,93.67,74.1
M3,2026-03-25T11:09:57.142082,2.96,62.38,88.09,73.12
M1,2026-03-25T11:10:57.142082,2.57,55.93,99.09,94.57
M2,2026-03-25T11:11:57.142082,2.94,58.35,99.68,86.55
M3,2026-03-25T11:12:57.142082,0.97,65.43,116.33,86.78
M3,2026-03-25T11:13:57.142082,2.58,82.13,87.76,87.51
M3,2026-03-25T11:14:57.142082,1.53,76.52,109.12,88.26
M1,2026-03-25T11:15:57.142082,0.73,79.38,95.78,83.69
M1,2026-03-25T11:16:57.142082,3.15,66.49,110.41,73.74
M3,2026-03-25T11:17:57.142082,2.96,56.43,92.92,94.66
M3,2026-03-25T11:18:57.142082,2.37,63.35,97.15,83.14
M3,2026-03-25T11:19:57.142082,2.12,62.66,95.86,82.97
M1,2026-03-25T11:20:57.142082,0.69,67.67,108.98,68.12
M1,2026-03-25T11:21:57.142082,2.82,69.44,106.37,90.81
M1,2026-03-25T11:22:57.142082,1.07,56.96,89.11,84.97
M2,2026-03-25T11:23:57.142082,2.12,63.58,92.7,71.76
M2,2026-03-25T11:24:57.142082,1.79,63.3,86.73,66.62
M1,2026-03-25T11:25:57.142082,3.27,86.58,109.97,76.67
M1,2026-03-25T11:26:57.142082,2.29,86.35,105.92,89.3
M2,2026-03-25T11:27:57.142082,1.06,80.58,108.37,94.61
M2,2026-03-25T11:28:57.142082,2.75,81.08,103.92,65.99
M3,2026-03-25T11:29:57.142082,0.64,59.4,96.27,82.44
M1,2026-03-25T11:30:57.142082,1.73,63.08,101.31,84.46
M1,2026-03-25T11:31:57.142082,1.07,55.41,112.62,94.25
M1,2026-03-25T11:32:57.142082,0.9,63.92,86.8,65.99
M2,2026-03-25T11:33:57.142082,2.38,65.12,118.67,86.2
M1,2026-03-25T11:34:57.142082,2.16,67.57,109.23,82.83
M3,2026-03-25T11:35:57.142082,2.8,68.04,94.79,75.5
M3,2026-03-25T11:36:57.142082,1.73,76.8,113.4,65.89
M3,2026-03-25T11:37:57.142082,1.2,74.02,88.59,81.4
M2,2026-03-25T11:38:57.142082,1.15,88.49,106.13,81.21
M2,2026-03-25T11:39:57.142082,0.94,61.06,92.7,80.38
M1,2026-03-25T11:40:57.142082,3.09,55.22,118.37,90.31
M1,2026-03-25T11:41:57.142082,1.25,62.07,109.21,69.53
M1,2026-03-25T11:42:57.142082,2.68,89.26,96.87,74.63
M2,2026-03-25T11:43:57.142082,0.64,78.51,87.75,85.21
M3,2026-03-25T11:44:57.142082,2.56,70.92,112.43,73.67
M1,2026-03-25T11:45:57.142082,2.24,78.62,116.83,70.1
M2,2026-03-25T11:46:57.142082,2.47,58.8,115.73,75.11
M2,2026-03-25T11:47:57.142082,3.1,87.17,92.23,66.97
M3,2026-03-25T11:48:57.142082,2.47,89.48,99.86,75.37
M2,2026-03-25T11:49:57.142082,1.57,88.42,101.56,90.56
M1,2026-03-25T11:50:57.142082,1.44,75.12,95.77,69.02
M3,2026-03-25T11:51:57.142082,1.58,81.77,90.22,69.23
M2,2026-03-25T11:52:57.142082,2.54,73.9,102.86,72.84
M2,2026-03-25T11:53:57.142082,2.92,75.57,87.99,74.67
M3,2026-03-25T11:54:57.142082,1.3,60.08,104.46,79.02
M3,2026-03-25T11:55:57.142082,1.88,85.11,106.72,79.79
M3,2026-03-25T11:56:57.142082,1.21,85.32,114.64,93.11
M1,2026-03-25T11:57:57.142082,2.74,61.98,115.51,82.12
M2,2026-03-25T11:58:57.142082,1.16,71.0,112.63,81.85
M3,2026-03-25T11:59:57.142082,2.83,78.13,109.88,78.42
M2,2026-03-25T12:00:57.142082,3.21,84.8,104.6,90.75
M2,2026-03-25T12:01:57.142082,1.44,56.14,112.22,74.72
M3,2026-03-25T12:02:57.142082,2.91,68.89,112.81,93.88
M1,2026-03-25T12:03:57.142082,3.38,87.86,116.92,94.28
M3,2026-03-25T12:04:57.142082,2.15,71.12,88.7,84.83
M3,2026-03-25T12:05:57.142082,0.84,89.86,90.05,82.94
M1,2026-03-25T12:06:57.142082,0.76,70.25,88.01,70.97
M3,2026-03-25T12:07:57.142082,1.77,82.89,109.82,76.04
M2,2026-03-25T12:08:57.142082,2.81,69.32,91.89,86.67
M3,2026-03-25T12:09:57.142082,1.09,63.33,99.17,91.75
M1,2026-03-25T12:10:57.142082,1.32,81.14,106.51,79.85
M3,2026-03-25T12:11:57.142082,0.74,74.32,99.77,84.88
M1,2026-03-25T12:12:57.142082,1.72,57.38,104.25,94.38
M2,2026-03-25T12:13:57.142082,3.42,83.23,115.74,70.66
M2,2026-03-25T12:14:57.142082,2.24,80.42,100.13,75.67
M1,2026-03-25T12:15:57.142082,2.15,84.7,99.74,83.99
M1,2026-03-25T12:16:57.142082,2.8,71.91,98.72,77.82
M1,2026-03-25T12:17:57.142082,2.11,84.2,97.21,73.11
M1,2026-03-25T12:18:57.142082,1.11,61.06,100.52,78.04
M3,2026-03-25T12:19:57.142082,1.14,57.05,90.21,81.99
M2,2026-03-25T12:20:57.142082,3.26,63.45,110.71,71.84
M1,2026-03-25T12:21:57.142082,1.21,66.4,105.2,78.7
M2,2026-03-25T12:22:57.142082,3.17,72.56,88.09,71.8
M3,2026-03-25T12:23:57.142082,2.06,68.26,104.65,93.36
M2,2026-03-25T12:24:57.142082,1.79,75.66,111.5,94.9
M2,2026-03-25T12:25:57.142082,1.09,87.22,92.72,74.49
M3,2026-03-25T12:26:57.142082,0.59,72.86,113.03,86.15
M3,2026-03-25T12:27:57.142082,3.0,57.55,112.22,80.62
M3,2026-03-25T12:28:57.142082,1.3,80.71,111.71,73.8
M2,2026-03-25T12:29:57.142082,0.86,64.26,98.62,70.0
M2,2026-03-25T12:30:57.142082,2.46,55.7,114.27,81.73
M1,2026-03-25T12:31:57.142082,1.84,82.46,96.04,76.56
M1,2026-03-25T12:32:57.142082,3.26,82.03,97.75,81.8
M1,2026-03-25T12:33:57.142082,0.67,68.78,111.24,65.18
